Execution Time,PAPI_FP_OPS,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_LD_INS,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_L3_TCM
4033037,6297820,4199974,1,4199792,0,4196771,140733882220736
4027358,6297820,4199974,1,4199792,0,4196771,140733882220736
4034605,6297820,4199974,1,4199792,0,4196771,140733882220736
4032711,6297820,4199974,1,4199792,0,4196771,140733882220736
4025545,6297820,4199974,1,4199792,0,4196771,140733882220736
4039706,6297820,4199974,1,4199792,0,4196771,140733882220736
4033554,6297820,4199974,1,4199792,0,4196771,140733882220736
5194615,6297820,4199974,1,4199792,0,4196771,140733882220736
