$\mu$,PAPI\_L2\_TCM,PAPI\_L3\_TCM,PAPI\_L2\_TCA,PAPI\_L3\_TCA
90,376,4,845,376
43,434,19,859,434
43,357,2,851,357
106,488,10,1419,488
34,337,42,837,337
35,343,38,841,343
34,345,19,817,345
35,421,51,862,421
