$\mu$s,PAPI\_L3\_TCR,PAPI\_L3\_TCW
37620,1771566,25
65075,1767459,13
62359,1745456,7
59352,1758423,16
36319,1756281,13
68958,1772161,17
74781,1782459,16
71214,1768465,14
