$\mu$s,PAPI\_L3\_TCM,PAPI\_FP\_INS
224297,55005,457197822
254660,53505,457288522
245985,50189,457326480
220963,49154,456543455
252613,52820,457439879
262252,52361,457067136
226406,53780,456576667
226769,45781,456818168
