$\mu$s,PAPI\_L3\_TCR,PAPI\_L3\_TCW
2930871,291693152,4555
2905200,294081381,5306
3020248,291830263,4911
2931217,286996813,5143
2927023,287598783,5095
2918355,287751071,4891
2960803,288816920,4970
2935474,297641691,4334
