$\mu$s,PAPI\_L3\_TCM,PAPI\_FP\_INS
2940320,160431626,21
2962713,166673270,1940
2985885,160917003,91
2941873,158948921,2295
2979739,159335236,2519
2956064,159076168,4369
2957463,159917293,5484
2931052,158697970,1965
