$\mu$s,PAPI\_L3\_TCR,PAPI\_L3\_TCW
83043465,6243611409,3956
35829923,2069128533,2392
82636412,5744427583,30139
82122816,6059979094,4206
82655097,5549143707,3033
83066055,6011174261,3435
83135270,5589555002,3455
84484016,6844853373,3355
