$\mu$,PAPI\_L3\_TCR,PAPI\_L3\_TCW
845006,8722458,12
835571,8678388,25
855469,8709635,62
818316,8693963,50
843178,8711878,18
819611,8736578,36
786350,8721204,44
836490,8694056,32
