$\mu$,PAPI\_L2\_TCM,PAPI\_L3\_TCM,PAPI\_L2\_TCA,PAPI\_L3\_TCA
1195,436,214,1108,436
535,274,179,794,274
902,1846,484,6132,1846
554,275,159,783,275
552,276,115,829,276
926,404,290,926,404
734,350,149,1105,350
928,261,188,800,261
