$\mu$,PAPI\_VEC\_SP,PAPI\_SP\_OPS
11226,0,4394614
11220,0,4422280
11613,0,4380320
13156,0,4575503
14870,0,4419746
18385,0,4399808
10980,0,4374619
10327,0,4373180
