$\mu$,PAPI\_L3\_TCM,PAPI\_FP\_INS
15133,518,4266887
9801,314,4257931
15609,806,4257788
9659,399,4259186
18701,815,4261127
9268,392,4261260
15719,995,4255172
12997,382,4256536
