$\mu$,PAPI\_L2\_TCM,PAPI\_L3\_TCM,PAPI\_L2\_TCA,PAPI\_L3\_TCA
16284,1921,758,175868,1921
10706,2480,732,176262,2480
23824,40510,885,179837,40510
9617,2645,744,175978,2645
9437,5450,631,176439,5450
12764,13436,1798,176106,13436
19690,2607,746,176192,2607
10034,5278,847,175869,5278
