$\mu$,PAPI\_L3\_TCM,PAPI\_FP\_INS
127759269,555334244,39676663774
118579063,544594484,39652862788
116269251,556071355,39702831886
116811115,548970376,39816538905
116471869,550710393,40144285496
115544227,545611027,39848216922
112394247,548908672,38091041970
114406731,544593041,39691783134
