$\mu$,PAPI\_L3\_TCR,PAPI\_L3\_TCW
121960912,5756597830,4598
119051637,6001507755,3780
115246361,5833991997,2851
115557784,6351073724,3579
115209225,5922210571,3253
115336752,6319958602,3289
128958615,5557515778,4652
115409998,5907510632,3627
