$\mu$,PAPI\_VEC\_SP,PAPI\_SP\_OPS
120691113,0,40255845671
117809171,0,39688533321
115574757,0,39730655216
131235101,0,40025043106
116003863,0,39700640578
114660710,0,39581462271
115645091,0,39822068609
115388478,0,39627473439
