$\mu$,PAPI\_L3\_TCR,PAPI\_L3\_TCW
565559,979430,19
620767,1016876,27
575869,987193,52
627185,978948,27
609992,984614,27
632237,1012182,20
631968,989245,32
612752,1041618,24
