$\mu$,PAPI\_VEC\_SP,PAPI\_SP\_OPS
44372702,0,17355382680
39944799,0,17355813091
40139355,0,17355293413
41908293,0,17341135162
43516140,0,17355887410
39777179,0,17356293961
39816259,0,17356085225
36974033,0,17355461008
